Viewing ID,Viewer ID,Pulse Permissions,Role,User Email,Start time,Start date,Sign up status,Finish time,Finish date,Geolocation,Accepted terms,Consent analytics,Completion percentage,Position,Language,Viewing path,Offline,Distribution,Points,"In a typical week, how physically active are you? (range)",Which types of sport do you take part in most often? (pickMany),What do you enjoy most about sport? (pickOne),Playing sport or being active helps me… - connect with people different from me (matrix),Playing sport or being active helps me… - feel more confident in myself (matrix),Playing sport or being active helps me… - feel like I belong (matrix),Playing sport or being active helps me… - deal with challenges in life (matrix),Playing sport or being active helps me… - stay calm when things get hard (matrix),Playing sport or being active helps me… - care more about the planet (matrix),Playing sport or being active helps me… - feel connected to nature (matrix),Playing sport or being active helps me… - believe I can make a difference (matrix),Does sport influence how hopeful you feel about your life? (range),How important is sport to supporting your mental well-being? (rating),Which skills are you developing through sport? (decision - No),Which skills are you developing through sport? (decision - ),Which skills are you developing through sport? (decision - Yes),"When things go wrong in your life, how confident are you that you can bounce back? (netPromoter)",How easy is it for you to access sport where you live? (range),What makes it difficult for you to take part in sport regularly? (pickOne),Adults involved in sport... (decision - No),Adults involved in sport... (decision - ),Adults involved in sport... (decision - Yes),Do events like the World Cup make you feel more connected to your local community? (pickOne),What would help more young people take part in sport where you live? (pickMany),Do you feel your voice is heard when decisions are made about sport in your community? (range),When were you born? (age),What country do you live in? (location),What gender do you identify as? (gender),"In a typical week, how physically active are you? dwell time",Which types of sport do you take part in most often? dwell time,What do you enjoy most about sport? dwell time,Playing sport or being active helps me… dwell time,Does sport influence how hopeful you feel about your life? dwell time,How important is sport to supporting your mental well-being? dwell time,Which skills are you developing through sport? dwell time,"When things go wrong in your life, how confident are you that you can bounce back? dwell time",How easy is it for you to access sport where you live? dwell time,What makes it difficult for you to take part in sport regularly? dwell time,Adults involved in sport... dwell time,Do events like the World Cup make you feel more connected to your local community? dwell time,What would help more young people take part in sport where you live? dwell time,Do you feel your voice is heard when decisions are made about sport in your community? dwell time,When were you born? dwell time,What country do you live in? dwell time,What gender do you identify as? dwell time,Transcriptions,Device type,Browser
QJ9wBLdkyAQ,QJ9wBKsn4_Y,false,Anonymous,Guest,10:06:24 PM,10/06/2026,false,10:06:24 PM,10/06/2026,"",true,true,100.00,19/19,en,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19]",false,"",14,2+ hours a week,Informal play with friends,Spending time with friends,5,5,5,5,5,5,5,5,"Yes, a lot",Very important,"[""Teamwork ||| Speaking up""]",[],"[""Confidence ||| Leadership ||| Focus ||| Social Connections ||| Problem-solving ||| Handling stress""]",Confident,Quite easy,"",[],[],"[""help me feel more confident ||| positively influence my experience ||| make me feel comfortable asking them for help ||| make me feel included ||| help create safe environments""]","Yes, a lot",Free or low-cost activities ||| Better places to play ||| Fun social activities,Sometimes,1984-06-01,Cameroon,Male,16,13,3,29,0,0,17,14,7,0,10,4,26,5,0,0,0,"",Desktop,Chrome 149.0
QJ-CwJ2GbgE,QJ-CwJO4GKM,false,Anonymous,Guest,11:31:34 PM,10/06/2026,false,11:31:34 PM,10/06/2026,"",true,true,5.26,1/19,en,[1],false,"",3,Less than 30 minutes a week,Dance or movement,Spending time with friends,"","","","","","","","","","",[],[],[],"","","",[],[],[],"","","","","","",6,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",Mobile,Mozilla 5.0
QKB6gghKt0I,QKB6gf-GVGg,false,Anonymous,Guest,03:01:20 AM,11/06/2026,false,03:01:20 AM,11/06/2026,"",true,true,100.00,19/19,en,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", 19]",false,"",15,2+ hours a week,Community sport club ||| Physical education (PE) or school sport,Feeling confident,2,2,2,2,2,2,2,2,"Yes, a lot",Very important,[],[],"[""Teamwork ||| Handling stress ||| Social Connections ||| Problem-solving ||| Focus ||| Confidence ||| Leadership ||| Speaking up""]",Very confident,Very easy,"",[],[],"[""help me feel more confident ||| make me feel comfortable asking them for help ||| make me feel included ||| positively influence my experience ||| help create safe environments""]","Yes, a lot",Better places to play ||| Supportive coaches ||| Fun social activities,Always,1992-10-01,India,Other,46,31,28,72,14,23,18,32,16,0,12,9,28,11,0,0,0,"",Desktop,Chrome 149.0
QKCauUZMso0,QKCauTyRu5o,false,Anonymous,Guest,03:30:23 AM,11/06/2026,false,"","","",true,false,"","",en,"",false,"",9,2+ hours a week,Gym or exercise,Having fun,5,5,5,4,5,3,4,4,"Yes, a lot",Very important,[],[],"[""Handling stress ||| Teamwork ||| Speaking up ||| Social Connections ||| Problem-solving ||| Focus ||| Leadership ||| Confidence""]",Confident,Very easy,"",[],[],[],"","","","","","",29,17,20,51,11,15,23,18,11,0,0,0,0,0,0,0,0,"",Mobile,Chrome 146.0
QKHPQ-MHEXc,QKHPQ_h37Go,false,Anonymous,Guest,09:13:24 AM,11/06/2026,false,09:13:24 AM,11/06/2026,"",true,false,"","",en,"",false,"",14,2+ hours a week,Physical education (PE) or school sport ||| Community sport club,Being part of a team,5,5,5,5,5,5,5,5,"Yes, a lot",Very important,[],[],"[""Teamwork ||| Focus ||| Confidence ||| Social Connections ||| Handling stress ||| Leadership ||| Problem-solving ||| Speaking up""]",Very confident,Very easy,"",[],[],"[""help me feel more confident ||| help create safe environments ||| make me feel comfortable asking them for help ||| positively influence my experience ||| make me feel included""]","Yes, a lot",Feeling welcome ||| Supportive coaches ||| Better places to play,Always,1995-07-01,Zambia,Male,44,34,47,78,29,20,43,19,19,0,24,17,53,23,0,0,0,"",Mobile,Chrome 111.0
QJ25tsLt114,QJ25trW-JQA,false,Anonymous,Guest,03:26:20 PM,11/06/2026,false,03:26:20 PM,11/06/2026,"",true,true,10.53,2/19,en,"[1, 2]",false,"",1,2+ hours a week,"","","","","","","","","","","","",[],[],[],"","","",[],[],[],"","","","","","",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",Desktop,Safari 605.1
QKNP-RxtGFc,QKNP-RE7B2M,false,Anonymous,Guest,04:04:00 PM,11/06/2026,false,04:04:00 PM,11/06/2026,"",true,true,5.26,1/19,en,[1],false,"",0,"","","","","","","","","","","","","",[],[],[],"","","",[],[],[],"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",Desktop,Edge 149.0
QKPZ7EUAWZU,QKPZ7DufLdQ,false,Anonymous,Guest,06:55:05 PM,11/06/2026,false,06:55:05 PM,11/06/2026,"",true,true,5.26,1/19,en,[1],false,"",0,"","","","","","","","","","","","","",[],[],[],"","","",[],[],[],"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",Desktop,Chrome 149.0
QKWAkglIPp4,QKWAkf86QUI,false,Anonymous,Guest,02:17:32 AM,12/06/2026,false,02:17:32 AM,12/06/2026,"",true,true,26.32,5/19,en,"[1, 2, 3, 4, 5]",false,"",4,Less than 30 minutes a week,Physical education (PE) or school sport,Feeling healthy or strong,5,5,5,5,5,5,5,5,"","",[],[],[],"","","",[],[],[],"","","","","","",9,22,15,21,0,0,0,0,0,0,0,0,0,0,0,0,0,"",Desktop,Chrome 148.0
QKbGstG7pnw,QKbGssmsa4w,false,Anonymous,Guest,08:12:45 AM,12/06/2026,false,"","","",true,false,"","",en,"",false,"",0,"","","","","","","","","","","","","",[],[],[],"","","",[],[],[],"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",Desktop,Chrome 148.0
